Player_ID,Player,Team,Position
P010316   ,"AJINCA, MELVIN",ASV,SF
P010465   ,"ANGOLA, BRAIAN",ASV,SF
P012268   ,"ATAMNA, ADAM",ASV,PG
P002100   ,"DE COLO, NANDO",ASV,PG
P006725   ,"EBOUA, PAUL",ASV,C
P013371   ,"HARRISON, SHAQUILLE",ASV,SF
PKLT      ,"HEURTEL, THOMAS",ASV,PG
P000229   ,"JACKSON, EDWIN",ASV,SF
P003526   ,"LIGHTY, DAVID",ASV,SF
P012618   ,"MASSA, BODIAN",ASV,C
P012731   ,"NDIAYE, MBAYE",ASV,C
P009556   ,"NGOUAMA, MEHDY",ASV,PG
P014088   ,"SELJAAS, ZACHARY",ASV,SF
P010319   ,"TRAORE, ARMEL",ASV,PF
P014014   ,"VAUTIER, BASTIEN",ASV,C
P013016   ,"WADE, MARVYN",ASV,PG
P014013   ,"WATSON, GLYNN",ASV,PG
P009992   ,"BRIZUELA, DARIO",BAR,SG
P013269   ,"CALE, MYLES",BAR,SF
P004888   ,"CLYBURN, WILL",BAR,SF
P006568   ,"FALL, YOUSSOUPHA",BAR,C
P003196   ,"HERNANGOMEZ, WILLY",BAR,C
P012885   ,"KEITA, SAYON",BAR,C
P014128   ,"KUSTURICA, NIKOLA",BAR,SF
P006435   ,"LAPROVITTOLA, NICOLAS",BAR,PG
P009948   ,"MARCOS, JUANI",BAR,PG
P014134   ,"NORRIS, MILES",BAR,SF
P007464   ,"PARRA, JOEL",BAR,SF
P009862   ,"PUNTER, KEVIN",BAR,SG
P002939   ,"SATORANSKY, TOMAS",BAR,PG
P001133   ,"SHENGELIA, TORNIKE",BAR,PF
P000925   ,"VESELY, JAN",BAR,C
P014105   ,"BOL, JUOM",BAS,C
P014027   ,"DIAKITE, MAMADI",BAS,PF
P014086   ,"DIALLO, HAMIDOU",BAS,SF
P008072   ,"DIOP, KHALIFA",BAS,C
P013367   ,"FORREST, TRENT",BAS,PG
P014026   ,"FRISCH, CLEMENT",BAS,PF
P011948   ,"HOWARD, MARKUS",BAS,SG
P012365   ,"HRABAR, VIT",BAS,SF
P014107   ,"JOKSIMOVIC, STEFAN",BAS,SF
P005713   ,"KURUCS, RODIONS",BAS,SF
P012080   ,"LUWAWU-CABARROT, TIMOTHE",BAS,SF
P014119   ,"NOWELL, MARKQUIS",BAS,PG
P014207   ,"OMORUYI, EUGENE",BAS,C
P010788   ,"QUEREJETA, JOSEBA",BAS,PG
P014190   ,"RADZEVICIUS, GYTIS",BAS,SF
P007579   ,"SAMANIC, LUKA",BAS,C
P007230   ,"SEDEKERSKIS, TADAS",BAS,SF
P014152   ,"SIMMONS, KOBI",BAS,PG
P008173   ,"SPAGNOLO, MATTEO",BAS,PG
P010035   ,"VILLAR, RAFA",BAS,PG
P003527   ,"ABASS, AWUDU",DUB,SF
P012795   ,"ANDERSON, JUSTIN",DUB,SF
P000956   ,"ANDJUSIC, DANILO",DUB,SG
P014141   ,"ARMSTRONG, TARAN",DUB,PG
P003983   ,"AVRAMOVIC, ALEKSA",DUB,PG
P011286   ,"BACON, DWAYNE",DUB,SF
P003458   ,"BERTANS, DAVIS",DUB,PF
P012096   ,"CABOCLO, BRUNO",DUB,C
P005942   ,"DANGUBIC, NEMANJA",DUB,SF
P014157   ,"ELLIS, BOOGIE",DUB,PG
P012796   ,"KABENGELE, MFIONDU",DUB,C
P008325   ,"KAMENJAS, KENAN",DUB,C
P014031   ,"KONDIC, KOSTA",DUB,SG
P006540   ,"MUSA, DZANAN",DUB,SF
P011194   ,"PETRUSEV, FILIP",DUB,PF
P002661   ,"PREPELIC, KLEMEN",DUB,PG
P014177   ,"RYAN, MATT",DUB,SF
P002968   ,"SANLI, SERTAC",DUB,C
P012606   ,"WRIGHT IV, MCKINLEY",DUB,PG
P013402   ,"BLAKENEY, ANTONIO",HTA,SG
P009877   ,"BLAYZER, OZ",HTA,SF
P009846   ,"BRYANT, ELIJAH",HTA,SG
P014416   ,"EDWARDS, KESSLER",HTA,SF
P008858   ,"ENNIS, TYLER",HTA,PG
P010550   ,"GINAT, TOMER",HTA,PF
P010568   ,"JONES, CHRIS",HTA,PG
P011052   ,"MADAR, YAM",HTA,PG
P012609   ,"MALCOLM, COLLIN",HTA,SF
P002580   ,"MICIC, VASILIJE",HTA,PG
P011157   ,"MOTLEY, JOHNATHAN",HTA,C
P011823   ,"ODIASE, TAI",HTA,C
P012788   ,"OTURU, DAN",HTA,C
P013283   ,"PALATIN, GUY",HTA,PG
P004161   ,"SEGEV, ITAY",HTA,C
P004846   ,"TIMOR, BAR",HTA,SG
P013284   ,"WAINRIGHT, ISH",HTA,PF
P006590   ,"BEAUBOIS, RODRIGUE",IST,SG
P009549   ,"CORDINIER, ISAIA",IST,SG
P010318   ,"DESSERT, BRICE",IST,C
P012742   ,"DOZIER, PJ",IST,SG
P013422   ,"FENEMEN, RUZGAR",IST,PG
P011201   ,"HAZER, SEHMUS",IST,SG
P014102   ,"JONES, KAI",IST,C
P007200   ,"LARKIN, SHANE",IST,PG
P013389   ,"LEE, SABEN",IST,PG
P009754   ,"LOYD, JORDAN",IST,SG
P008176   ,"MUTAF, DAVID",IST,SG
P012710   ,"OSMANI, ERCAN",IST,PF
P005844   ,"PAPAGIANNIS, GEORGIOS",IST,C
P004887   ,"POIRIER, VINCENT",IST,C
P007109   ,"SMITS, ROLANDS",IST,PF
P014025   ,"SWIDER, COLE",IST,SF
P010391   ,"WEILER-BABB, NICK",IST,PG
P004093   ,"YILDIZLI, BURAKCAN",IST,PF
P006372   ,"YILMAZ, ERKAN",IST,SF
P003733   ,"ABALDE, ALBERTO",MAD,SF
P010105   ,"ALMANSA, IZAN",MAD,PF
P005928   ,"CAMPAZZO, FACUNDO",MAD,PG
P009005   ,"DECK, GABRIEL",MAD,SF
P011247   ,"FELIZ, ANDRES",MAD,PG
P013667   ,"FERNANDO, BRUNO",MAD,C
P007630   ,"GARUBA, USMAN",MAD,PF
P013555   ,"GRINVALDS, GUNARS",MAD,SF
P003108   ,"HEZONJA, MARIO",MAD,PF
P006482   ,"KRAEMER, DAVID",MAD,SG
P006482   ,"KRAMER, DAVID",MAD,SG
P014169   ,"LEN, ALEX",MAD,C
PTGB      ,"LLULL, SERGIO",MAD,PG
P014117   ,"LYLES, TREY",MAD,PF
P007027   ,"MALEDON, THEO",MAD,PG
P014006   ,"OKEKE, CHUMA",MAD,PF
P008384   ,"PROCIDA, GABRIELE",MAD,SF
P005791   ,"TAVARES, WALTER",MAD,C
P008161   ,"BEGARIN, JUHANN",MCO,SG
P011231   ,"BLOSSOMGAME, JARON",MCO,SF
P001932   ,"CALATHES, NICK",MCO,PG
P011226   ,"DIALLO, ALPHA",MCO,SF
P010390   ,"HAYES, KEVARRIUS",MCO,C
P005985   ,"JAMES, MIKE",MCO,PG
P011935   ,"MAKOUNDOU, YOAN",MCO,C
P003836   ,"MICHINEAU, DAVID",MCO,PG
P000796   ,"MIROTIC, NIKOLA",MCO,PF
P000848   ,"NEDOVIC, NEMANJA",MCO,SG
P011212   ,"OKOBO, ELIE",MCO,PG
P008099   ,"STRAZEL, MATTHEW",MCO,PG
P012515   ,"TARPEY, TERRY",MCO,SG
P004132   ,"THEIS, DANIEL",MCO,C
P008985   ,"BOLMARO, LEANDRO",MIL,PG
P007056   ,"BOOKER, DEVIN",MIL,C
P013384   ,"BROOKS, ARMONI",MIL,SG
P009622   ,"BROWN, LORENZO",MIL,PG
P005379   ,"CANCAR, VLATKO",MIL,SF
P012925   ,"CECCATO, MATTIA",MIL,SG
P013385   ,"DIOP, OUSMANE",MIL,PF
P003048   ,"DUNSTON, BRYANT",MIL,C
P012593   ,"ELLIS, QUINN",MIL,SG
P005670   ,"FLACCADORI, DIEGO",MIL,SG
P004004   ,"GUDURIC, MARKO",MIL,SG
P008987   ,"LEDAY, ZACH",MIL,PF
P011064   ,"MANNION, NICCOLO",MIL,PG
P011199   ,"NEBO, JOSH",MIL,C
P001518   ,"RICCI, GIAMPAOLO",MIL,PF
P011980   ,"SESTINA, NATHAN",MIL,PF
P007831   ,"SHIELDS, SHAVON",MIL,SF
P006509   ,"TONUT, STEFANO",MIL,SG
P006277   ,"TOTE, LEONARDO",MIL,C
P014209   ,"VOGOGNA, JACOPO",MIL,PG
P012597   ,"BALDWIN, KAMAR",MUN,PG
P011244   ,"DA SILVA, OSCAR",MUN,PF
P006085   ,"DIMITRIJEVIC, NENO",MUN,PG
P014162   ,"DINWIDDIE, SPENCER",MUN,PG
P013579   ,"FISCHER, KILIAN",MUN,PF
P013383   ,"GABRIEL, WENYEN",MUN,C
P001557   ,"GIFFEY, NIELS",MUN,SF
P009513   ,"HOLLATZ, JUSTUS",MUN,PG
P013290   ,"JESSUP, JUSTINIAN",MUN,SF
P004863   ,"JOVIC, STEFAN",MUN,PG
P004512   ,"KRATZER, LEON",MUN,C
P001288   ,"LUCIC, VLADIMIR",MUN,SF
P013386   ,"MCCORMACK, DAVID",MUN,C
P011836   ,"MIKE, ISIAHA",MUN,PF
P004508   ,"OBST, ANDREAS",MUN,SG
P005683   ,"RADANOV, ALEKSA",MUN,SF
P013378   ,"RATHAN-MAYES, XAVIER",MUN,SG
P007201   ,"VOIGTMANN, JOHANNES",MUN,C
P011221   ,"ANTETOKOUNMPO, KOSTAS",OLY,C
P009849   ,"DORSEY, TYLER",OLY,SG
P011218   ,"EVANS, KEENAN",OLY,PG
P013380   ,"FOURNIER, EVAN",OLY,SG
P011196   ,"HALL, DONTA",OLY,C
P011981   ,"JONES, TYRIQUE",OLY,C
P014316   ,"JOSEPH, CORY",OLY,PG
P010392   ,"LARENTZAKIS, GIANNOULIS",OLY,SG
P013389   ,"LEE, SABEN",OLY,PG
P007853   ,"MCKISSIC, SHAQUIELLE",OLY,SG
P003941   ,"MILUTINOV, NIKOLA",OLY,C
P014212   ,"MORRIS, MONTE",OLY,PG
P014122   ,"NETZIPOGLOU, OMIROS",OLY,SG
P006591   ,"NTILIKINA, FRANK",OLY,PG
P001255   ,"PAPANIKOLAOU, KOSTAS",OLY,SF
P008829   ,"PETERS, ALEC",OLY,PF
P003469   ,"VEZENKOV, SASHA",OLY,PF
P008855   ,"WALKUP, THOMAS",OLY,PG
P012610   ,"WARD, TYSON",OLY,SF
P007527   ,"BADIO, BRANCOU",PAM,SG
P010444   ,"COSTELLO, MATTHEW",PAM,PF
P010750   ,"DE LARREA, SERGIO",PAM,PG
P014133   ,"IROEGBU, IKE",PAM,PG
P014168   ,"KEY, BRAXTON",PAM,PF
P005356   ,"LOPEZ-AROSTEGUI, XABI",PAM,SG
P010042   ,"MONTERO, JEAN",PAM,PG
P014115   ,"MOORE, OMARI",PAM,SG
P010162   ,"NOGUES, ISAAC",PAM,SG
P010393   ,"PRADILLA, JAIME",PAM,C
P006643   ,"PUERTO, JOSEP",PAM,SG
P012738   ,"REUVERS, NATHAN",PAM,PF
P010545   ,"SAKO, NEAL",PAM,C
P011980   ,"SESTINA, NATHAN",PAM,PF
P005596   ,"SIMA, YANKUBA",PAM,C
P011217   ,"TAYLOR, KAMERON",PAM,SF
P011078   ,"THOMPSON, DARIUS",PAM,PG
P011284   ,"FARIED, KENNETH",PAN,C
P011204   ,"GRANT, JERIAN",PAN,PG
P002328   ,"GRIGONIS, MARIUS",PAN,SG
P008962   ,"HAYES-DAVIS, NIGEL",PAN,PF
P012712   ,"HERNANGOMEZ, JUANCHO",PAN,PF
P014011   ,"HOLMES, RICHAUN",PAN,C
P011209   ,"KALAITZAKIS, PANAGIOTIS",PAN,SF
P004451   ,"KOUZELOGLOU, IOANNIS",PAN,C
P007866   ,"MITOGLOU, KONSTANTINOS",PAN,PF
P012774   ,"NUNN, KENDRICK",PAN,SG
P004088   ,"OSMAN, CEDI",PAN,SF
P011085   ,"ROGKAVOPOULOS, NIKOLAOS",PAN,SF
P011442   ,"SAMODUROV, ALEXANDROS",PAN,PF
P012608   ,"SHORTS, TJ",PAN,PG
P001926   ,"SLOUKAS, KOSTAS",PAN,PG
P004292   ,"TOLIOPOULOS, VASSILIS",PAN,SG
P005353   ,"YURTSEVEN, OMER",PAN,C
P006760   ,"BONGA, ISAAC",PAR,SF
P012167   ,"BOSNJAKOVIC, MITAR",PAR,SG
P012720   ,"BROWN, STERLING",PAR,SG
P001932   ,"CALATHES, NICK",PAR,PG
P013667   ,"FERNANDO, BRUNO",PAR,C
P009733   ,"JEKIRI, TONYE",PAR,C
P013369   ,"JONES, CARLIK",PAR,PG
P011981   ,"JONES, TYRIQUE",PAR,C
P007736   ,"LAKIC, ARIJAN",PAR,SG
P004761   ,"MARINKOVIC, VANJA",PAR,SF
P012943   ,"MIJAILOVIC, UROS",PAR,SG
P014007   ,"MILTON, SHAKE",PAR,SG
P012997   ,"MUURINEN, MIIKKA",PAR,PF
P010581   ,"OSETKOWSKI, DYLAN",PAR,PF
P012745   ,"PARKER, JABARI",PAR,PF
P014213   ,"PAYNE, CAMERON",PAR,PG
P008232   ,"POKUSEVSKI, ALEKSEJ",PAR,PF
P005683   ,"RADANOV, ALEKSA",PAR,SF
P013370   ,"WASHINGTON, DUANE",PAR,SG
P006904   ,"AYAYI, JOEL",PRS,SG
P004655   ,"BAKO, ISMAEL",PRS,C
P013373   ,"CAVALIERE, LEOPOLD",PRS,SF
P014010   ,"DOKOSSI, ALLAN",PRS,PF
P012403   ,"FAYE, MOUHAMED",PRS,C
P012611   ,"HERRERA, SEBASTIAN",PRS,PG
P012640   ,"HIFI, NADIR",PRS,SG
P011949   ,"HOMMES, DAULTON",PRS,SF
P007993   ,"M'BAYE, AMATH",PRS,PF
P010431   ,"MORGAN, JEREMY",PRS,SF
P004197   ,"OUATTARA, YAKUBA",PRS,SG
P014178   ,"RHODEN, JARED",PRS,SG
P014008   ,"ROBINSON, JUSTIN",PRS,PG
P012612   ,"SHAHRVIN, ENZO",PRS,PF
P014009   ,"STEVENS, LAMAR",PRS,SF
P009664   ,"WILLIS, DEREK",PRS,PF
P009035   ,"BOLOMBOY, JOEL",RED,C
P014163   ,"BUTLER, JARED",RED,SG
P011305   ,"CARTER, TYSON",RED,SG
P007960   ,"DAVIDOVAC, DEJAN",RED,SF
P004007   ,"DOBRIC, OGNJEN",RED,SF
P012044   ,"DOS SANTOS, YAGO",RED,PG
P014029   ,"EBUKA, IZUNDU",RED,C
P014028   ,"GRAHAM, DEVONTE",RED,PG
P014029   ,"IZUNDU, EBUKA",RED,C
P004866   ,"KALINIC, NIKOLA",RED,SF
P014094   ,"MILJENOVIC, STEFAN",RED,PG
P009048   ,"MILLER-MCINTYRE, CODI",RED,PG
P012201   ,"MONEKE, CHIMA",RED,PF
PLCZ      ,"MOTIEJUNAS, DONATAS",RED,C
P012948   ,"NEDELJKOVIC, ALEKSEJ",RED,SG
P013363   ,"NWORA, JORDAN",RED,SF
P011982   ,"OJELEYE, SEMI",RED,SF
P012934   ,"PAVLOVIC, NOVAK",RED,SG
P006240   ,"PLAVSIC, UROS",RED,C
P011686   ,"RADOSIC, OGNJEN",RED,SG
P011214   ,"RIVERO, JASIEL",RED,C
P013013   ,"STOJKOVIC, LAZAR",RED,C
P011193   ,"BLATT, TAMIR",TEL,PG
P014127   ,"BRISSETT, O'SHAE J",TEL,SF
P013699   ,"CLARK III, JIMMY",TEL,PG
P007990   ,"DIBARTOLOMEO, JOHN",TEL,SG
P014123   ,"DOWTIN JR, JEFFREY",TEL,PG
P012336   ,"GOLD, TAMIR",TEL,PF
P014120   ,"GUR, LAVI",TEL,SF
P013304   ,"HANKINS, ZACHARY",TEL,C
P006835   ,"HOARD, JAYLEN",TEL,PF
P014120   ,"LAVI, GUR",TEL,SF
P014012   ,"LEAF, TJ",TEL,PF
P010781   ,"LUNDBERG, IFFE",TEL,PG
